file	transcript
01_Uuuu.mp3	Uuuu... (grunt)
02_Co.mp3	Co? (What?)
03_Ja_zajety.mp3	Ja zajęty. (I'm busy.)
04_Dac_mi_spokoj.mp3	Dać mi spokój. (Leave me alone.)
05_Nie_czas_na_zabawe.mp3	Nie czas na zabawę. (No time for play.)
06_Ja_nie_byc_taki_ork.mp3	Ja nie być taki ork. (I'm not that kind of orc.)
07_Gotow_do_pracy.mp3	Gotów do pracy! (Ready to work!)
08_Czemu_nie.mp3	Czemu nie? (Why not?)
09_Tak.mp3	Tak. (Yes.)
10_Hmm.mp3	Hmm.
11_Czego_ty_chciec.mp3	Czego ty chcieć? (What you want?)
12_Cos_trzeba_zrobic.mp3	Coś trzeba zrobić. (Something needs doing.)
13_Ja_to_zrobie.mp3	Ja to zrobię. (I'll do it.)
14_Chetnie.mp3	Chętnie. (Gladly.)
15_Praca_praca.mp3	Praca, praca. (Work, work.)
16_Dobra_dobra.mp3	Dobra, dobra. (Okay, okay.)
17_Dobra.mp3	Dobra. (Okay.)
18_Brac_ich.mp3	Brać ich! (Get them!)
19_Sprobuje.mp3	Spróbuję. (I'll try.)
